ID;Übung;Muskelgruppe main;Quadrizeps;Beinbeuger;Glutes;Waden;Schultern;Trizeps;Trapez;Latissimus;Bizeps;Brust;Bauch;Unterer Rücken;Equipment;Unilateral;Bilateral;Gewicht 2x
39;Kurzhantel Schräg Bizeps Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kurzhantel;ja;nein;nein
40;Zotman Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kurzhantel;ja;nein;nein
41;Kurzhantel Preacher Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kurzhantel;ja;nein;nein
42;Kurzhantel Spider Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Kurzhantel;ja;nein;nein
43;Langhantel Bizeps Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Langhantel;nein;ja;nein
44;Langhantel Preacher Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Langhantel;nein;ja;nein
45;Maschine Preacher Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;Maschine;nein;ja;nein
46;EZ-Bar Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;EZ-Bar;nein;ja;nein
47;EZ-Bar Preacher Curl;Bizeps;0%;0%;0%;0%;0%;0%;0%;0%;100%;0%;0%;0%;EZ-Bar;nein;ja;nein
48;Kabel Flies;Brust;0%;0%;0%;0%;20%;0%;0%;0%;0%;80%;0%;0%;Kabel;nein;ja;nein
49;Kabel Brustpresse;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Kabel;nein;ja;nein
50;Liegestütze;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Körpergewicht;nein;ja;nein
51;Kurzhantel Bankdrücken;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Kurzhantel;nein;ja;ja
52;Kurzhantel Schrägbankdrücken;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Kurzhantel;nein;ja;ja
53;Kurzhantel Flies;Brust;0%;0%;0%;0%;20%;0%;0%;0%;0%;80%;0%;0%;Kurzhantel;nein;ja;ja
54;Langhantel Bankdrücken;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Langhantel;nein;ja;nein
55;Langhantel Schrägbankdrücken;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Langhantel;nein;ja;nein
56;Butterfly;Brust;0%;0%;0%;0%;20%;0%;0%;0%;0%;80%;0%;0%;Maschine;nein;ja;nein
57;Brustpresse;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Maschine;nein;ja;nein
58;Maschine Schrägbrustpresse;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Maschine;nein;ja;nein
59;Maschine Brustpresse (flach);Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Maschine;nein;ja;nein
60;Smith Maschine Bankdrücken;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Smith Maschine;nein;ja;nein
61;Smith Maschine Schrägbankdrücken;Brust;0%;0%;0%;0%;15%;25%;0%;0%;0%;60%;0%;0%;Smith Maschine;nein;ja;nein
62;Beinbeuger sitzend;Beinbeuger;0%;85%;15%;0%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
63;Beinbeuger liegend;Beinbeuger;0%;85%;15%;0%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
64;Hip Thrust;Glutes;5%;15%;70%;0%;0%;0%;0%;0%;0%;0%;5%;5%;Maschine;nein;ja;nein
65;Smith Maschine Hip Thrust;Glutes;5%;15%;70%;0%;0%;0%;0%;0%;0%;0%;5%;5%;Smith Maschine;nein;ja;nein
66;Langhantel Hip Thrust;Glutes;5%;15%;70%;0%;0%;0%;0%;0%;0%;0%;5%;5%;Langhantel;nein;ja;nein
67;Kabel Kickbacks;Glutes;0%;15%;75%;0%;0%;0%;0%;0%;0%;0%;5%;5%;Kabel;ja;nein;nein
68;Kabel Hüftabduktion;Glutes;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;Kabel;ja;nein;nein
69;Kurzhantel Bulgarian Split Squat;Quadrizeps;35%;10%;35%;5%;0%;0%;0%;0%;0%;0%;10%;5%;Kurzhantel;ja;nein;ja
70;Sumo Squat;Quadrizeps;40%;15%;30%;5%;0%;0%;0%;0%;0%;0%;5%;5%;Kurzhantel;nein;ja;nein
71;Goblin Squat;Quadrizeps;40%;15%;30%;5%;0%;0%;0%;0%;0%;0%;5%;5%;Kurzhantel;nein;ja;nein
72;Langhantel Squat;Quadrizeps;40%;15%;30%;5%;0%;0%;0%;0%;0%;0%;5%;5%;Langhantel;nein;ja;nein
73;Kurzhantel Lunge;Glutes;35%;15%;40%;2%;0%;0%;0%;0%;0%;0%;5%;3%;Kurzhantel;ja;nein;ja
74;Langhantel Lunge;Glutes;35%;15%;40%;2%;0%;0%;0%;0%;0%;0%;5%;3%;Langhantel;ja;nein;nein
75;Smith Maschine Lunge;Glutes;35%;15%;40%;2%;0%;0%;0%;0%;0%;0%;5%;3%;Smith Maschine;ja;nein;nein
76;Smith Maschine Bulgarian Split Squat;Quadrizeps;35%;10%;35%;5%;0%;0%;0%;0%;0%;0%;10%;5%;Smith Maschine;ja;nein;nein
77;Beinpresse;Quadrizeps;50%;15%;25%;5%;0%;0%;0%;0%;0%;0%;3%;2%;Maschine;nein;ja;nein
78;Hack Squat;Quadrizeps;60%;10%;20%;5%;0%;0%;0%;0%;0%;0%;3%;2%;Maschine;nein;ja;nein
79;Hüftabduktion;Glutes;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
80;Hüftadduktion;Quadrizeps;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
81;V Squat;Quadrizeps;40%;15%;30%;5%;0%;0%;0%;0%;0%;0%;5%;5%;Maschine;nein;ja;nein
82;Pendulum Squat;Quadrizeps;50%;10%;30%;5%;0%;0%;0%;0%;0%;0%;3%;2%;Maschine;nein;ja;nein
83;Smith Maschine Squat;Quadrizeps;50%;15%;25%;5%;0%;0%;0%;0%;0%;0%;3%;2%;Smith Maschine;nein;ja;nein
84;Beinstrecker;Quadrizeps;100%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
85;Wadenpresse sitzend;Waden;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
86;Wadenheben;Waden;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
87;Smith Maschine Wadenheben;Waden;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;Smith Maschine;nein;ja;nein
88;Wadenheben Beinpresse;Waden;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
89;Kabel Seitheben;Schultern;0%;0%;0%;0%;90%;0%;10%;0%;0%;0%;0%;0%;Kabel;ja;nein;nein
90;Kurzhantel Schulterpresse;Schultern;0%;0%;0%;0%;65%;25%;10%;0%;0%;0%;0%;0%;Kurzhantel;nein;ja;ja
91;Kurzhantel Seitheben;Schultern;0%;0%;0%;0%;90%;0%;10%;0%;0%;0%;0%;0%;Kurzhantel;nein;ja;ja
92;Kurzhantel Schräg Seitheben sitzend;Schultern;0%;0%;0%;0%;90%;0%;10%;0%;0%;0%;0%;0%;Kurzhantel;nein;ja;ja
93;Y Raise;Trapez;0%;0%;0%;0%;45%;0%;55%;0%;0%;0%;0%;0%;Kurzhantel;nein;ja;ja
94;Military Press;Schultern;0%;0%;0%;0%;65%;25%;10%;0%;0%;0%;0%;0%;Langhantel;nein;ja;nein
95;Langhantel Schulterpresse sitzend;Schultern;0%;0%;0%;0%;65%;25%;10%;0%;0%;0%;0%;0%;Langhantel;nein;ja;nein
96;Maschine Seitheben;Schultern;0%;0%;0%;0%;90%;0%;10%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
97;Maschine Schulterpresse;Schultern;0%;0%;0%;0%;65%;25%;10%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
98;Smith Maschine Schulterpresse;Schultern;0%;0%;0%;0%;65%;25%;10%;0%;0%;0%;0%;0%;Smith Maschine;nein;ja;nein
99;Maschine Shrug;Trapez;0%;0%;0%;0%;0%;0%;90%;0%;0%;0%;0%;10%;Maschine;nein;ja;nein
100;Kurzhantel Shrug;Trapez;0%;0%;0%;0%;0%;0%;90%;0%;0%;0%;0%;10%;Kurzhantel;nein;ja;ja
101;Langhantel Shrug;Trapez;0%;0%;0%;0%;0%;0%;90%;0%;0%;0%;0%;10%;Langhantel;nein;ja;nein
102;Smith Maschine Shrug;Trapez;0%;0%;0%;0%;0%;0%;90%;0%;0%;0%;0%;10%;Smith Maschine;nein;ja;nein
103;Schräg Kurzhantel Y-Raise;Trapez;0%;0%;0%;0%;45%;0%;55%;0%;0%;0%;0%;0%;Kurzhantel;nein;ja;ja
104;Kabel Y-Raise;Trapez;0%;0%;0%;0%;45%;0%;55%;0%;0%;0%;0%;0%;Kabel;nein;ja;nein
105;Unilateral Trizeps Kabel Kickbacks;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Kabel;ja;nein;nein
106;Kabel Bar Trizeps Pushdown;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Kabel;nein;ja;nein
107;Kabel Seil Trizeps Pushdown;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Kabel;nein;ja;nein
108;Kabel Bar Überkopf Trizeps Extension;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Kabel;nein;ja;nein
109;Kabel Seil Overhead Trizeps Extension;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Kabel;nein;ja;nein
110;Dips;Trizeps;0%;0%;0%;0%;15%;45%;0%;0%;0%;35%;5%;0%;Körpergewicht;nein;ja;nein
111;Kurzhantel Trizeps Kickbacks;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Kurzhantel;ja;nein;nein
112;Kurzhantel Überkopf Extension;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Kurzhantel;nein;ja;nein
113;Maschine Trizeps Drücken;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;Maschine;nein;ja;nein
114;EZ-Bar Skull Crushers;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;EZ-Bar;nein;ja;nein
115;EZ-Bar Überkopf Extensions;Trizeps;0%;0%;0%;0%;0%;100%;0%;0%;0%;0%;0%;0%;EZ-Bar;nein;ja;nein
